rating_id,stimulus_id,trace_id,source_kind_hidden_during_rating,rater_id,task_understanding_check,H1-01,H1-02,H1-03,H1-04,H1-05,H1-06,H1-07,H1-08,H1-09,H1-10,H1-11,H1-12,guessed_source,guess_confidence_1_to_5
SYN-RATE-03-04,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-04,1,5,5,6,5,6,5,6,4,6,6,5,5,Human,4
SYN-RATE-03-05,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-05,1,6,6,7,5,5,6,5,6,6,6,5,6,Human,4
SYN-RATE-03-06,SYN-STIM-03,SYN-H-P02-01,synthetic_human,SYN-RATER-06,1,4,6,5,6,6,7,6,5,6,5,6,5,Agent,3
SYN-RATE-04-01,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-01,1,5,6,4,3,6,5,4,5,4,4,4,4,Agent,3
SYN-RATE-04-02,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-02,1,4,5,5,5,5,5,4,5,5,4,6,4,Human,3
SYN-RATE-04-03,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-03,1,5,5,5,4,5,4,4,5,5,5,5,5,Human,4
SYN-RATE-04-04,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-04,1,5,5,6,6,5,5,4,5,6,6,5,5,Agent,4
SYN-RATE-04-05,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-05,1,5,5,5,7,6,5,5,5,5,5,6,5,Human,4
SYN-RATE-04-06,SYN-STIM-04,SYN-H-P02-02,synthetic_human,SYN-RATER-06,1,5,6,5,5,5,6,4,6,5,5,4,7,Agent,4
SYN-RATE-05-01,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-01,1,5,4,5,4,3,6,5,4,4,6,5,4,Human,3
SYN-RATE-05-02,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-02,0,5,6,4,5,5,5,5,5,5,5,4,6,Human,4
SYN-RATE-05-03,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-03,1,6,6,5,5,6,6,7,6,5,5,6,6,Human,4
SYN-RATE-05-04,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-04,1,6,5,5,5,5,5,5,6,5,6,5,6,Human,4
SYN-RATE-05-05,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-05,1,6,5,5,5,5,6,6,5,6,6,6,5,Agent,4
SYN-RATE-05-06,SYN-STIM-05,SYN-H-P03-01,synthetic_human,SYN-RATER-06,1,6,5,7,6,5,5,6,5,5,6,6,6,Human,4
SYN-RATE-06-01,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-01,1,4,5,4,4,5,5,3,4,2,3,4,4,Human,3
SYN-RATE-06-02,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-02,1,5,5,6,6,4,6,4,5,4,5,5,5,Human,4
SYN-RATE-06-03,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-03,1,4,5,6,4,5,5,5,5,6,5,4,4,Agent,3
SYN-RATE-06-04,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-04,1,5,6,5,4,5,5,4,5,5,5,5,5,Human,4
SYN-RATE-06-05,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-05,1,5,5,5,4,5,5,5,5,4,5,5,4,Human,3
SYN-RATE-06-06,SYN-STIM-06,SYN-H-P03-02,synthetic_human,SYN-RATER-06,1,5,5,5,5,5,4,5,4,5,5,5,4,Human,4
SYN-RATE-07-01,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-01,1,4,4,4,5,6,5,4,4,4,5,5,5,Agent,3
SYN-RATE-07-02,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-02,1,6,5,5,4,5,5,5,6,6,5,5,4,Human,4
SYN-RATE-07-03,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-03,1,4,5,5,5,5,5,5,5,6,5,5,6,Human,3
SYN-RATE-07-04,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-04,1,4,6,6,5,4,5,5,5,5,4,6,7,Human,3
SYN-RATE-07-05,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-05,1,6,6,6,5,6,5,7,6,5,5,5,6,Agent,5
SYN-RATE-07-06,SYN-STIM-07,SYN-H-P04-01,synthetic_human,SYN-RATER-06,1,5,6,7,5,6,7,5,5,5,6,5,7,Human,5
SYN-RATE-08-01,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-01,1,6,5,6,5,5,5,6,5,5,5,5,5,Human,4
SYN-RATE-08-02,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-02,1,6,5,5,5,5,5,5,6,5,6,5,6,Human,3
SYN-RATE-08-03,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-03,1,5,6,5,5,5,7,5,6,4,6,5,6,Human,3
SYN-RATE-08-04,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-04,1,5,5,5,6,5,6,6,5,4,6,5,5,Agent,3
SYN-RATE-08-05,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-05,1,5,3,5,6,5,7,6,6,6,6,7,6,Human,3
SYN-RATE-08-06,SYN-STIM-08,SYN-H-P04-02,synthetic_human,SYN-RATER-06,1,6,5,6,5,7,6,6,6,6,6,5,5,Agent,4
SYN-RATE-09-01,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-01,1,4,4,4,5,5,5,5,5,5,6,6,5,Human,3
SYN-RATE-09-02,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-02,1,3,5,4,5,5,5,5,5,3,4,5,5,Human,4
SYN-RATE-09-03,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-03,1,4,4,5,6,6,5,5,4,5,6,5,6,Agent,3
SYN-RATE-09-04,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-04,1,5,5,4,4,6,6,5,6,5,7,6,6,Agent,3
SYN-RATE-09-05,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-05,1,4,5,4,5,5,5,5,5,5,6,6,5,Agent,3
SYN-RATE-09-06,SYN-STIM-09,SYN-A-01,synthetic_agent,SYN-RATER-06,1,5,5,6,4,5,6,5,6,5,6,6,6,Human,3
SYN-RATE-10-01,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-01,1,4,3,5,5,3,5,5,5,5,4,4,5,Human,3
SYN-RATE-10-02,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-02,1,5,5,4,5,5,5,3,4,5,6,5,5,Agent,3
SYN-RATE-10-03,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-03,1,4,5,4,5,5,6,5,5,5,5,6,6,Agent,3
SYN-RATE-10-04,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-04,1,4,5,3,6,5,5,5,6,,6,5,5,Agent,4
SYN-RATE-10-05,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-05,1,5,6,5,5,5,5,3,5,5,6,6,6,Agent,4
SYN-RATE-10-06,SYN-STIM-10,SYN-A-02,synthetic_agent,SYN-RATER-06,1,4,5,6,5,5,5,5,5,4,6,6,6,Agent,4
SYN-RATE-11-01,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-01,1,3,4,4,4,5,5,4,4,4,6,5,5,Human,4
SYN-RATE-11-02,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-02,1,4,4,4,5,5,5,5,5,5,5,6,6,Agent,3
SYN-RATE-11-03,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-03,1,5,5,3,5,5,4,5,5,5,5,5,6,Agent,3
SYN-RATE-11-04,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-04,1,5,4,4,4,6,4,5,4,5,6,6,6,Human,3
SYN-RATE-11-05,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-05,1,5,5,5,5,6,6,5,5,5,6,6,6,Agent,3
SYN-RATE-11-06,SYN-STIM-11,SYN-A-03,synthetic_agent,SYN-RATER-06,1,4,4,5,5,6,5,4,6,5,6,6,5,Agent,3
SYN-RATE-12-01,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-01,1,4,4,4,4,5,4,5,4,4,5,7,5,Agent,4
SYN-RATE-12-02,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-02,1,5,4,5,6,6,6,4,6,5,6,5,7,Agent,3
SYN-RATE-12-03,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-03,1,4,5,6,6,6,5,5,5,5,6,6,7,Agent,4
SYN-RATE-12-04,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-04,1,4,5,5,5,5,5,5,5,5,5,6,5,Agent,3
SYN-RATE-12-05,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-05,1,4,5,6,6,5,6,5,4,6,6,6,6,Agent,3
SYN-RATE-12-06,SYN-STIM-12,SYN-A-04,synthetic_agent,SYN-RATER-06,1,5,6,6,5,5,4,5,6,5,6,6,6,Agent,4
SYN-RATE-13-01,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-01,1,3,3,4,6,4,6,5,4,4,5,5,5,Human,5
SYN-RATE-13-02,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-02,1,3,4,4,4,6,5,4,4,4,6,6,5,Human,4
SYN-RATE-13-03,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-03,1,4,4,4,4,5,5,5,5,4,5,6,6,Human,3
SYN-RATE-13-04,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-04,1,4,5,5,5,5,5,5,4,4,7,5,5,Agent,4
SYN-RATE-13-05,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-05,0,5,5,5,5,6,5,5,5,5,6,6,7,Agent,4
SYN-RATE-13-06,SYN-STIM-13,SYN-A-05,synthetic_agent,SYN-RATER-06,1,4,5,5,6,6,5,5,5,4,6,7,6,Agent,3
SYN-RATE-14-01,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-01,1,4,4,3,4,4,5,4,4,4,5,5,4,Agent,4
SYN-RATE-14-02,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-02,1,4,4,4,5,5,4,3,3,5,5,4,5,Agent,3
SYN-RATE-14-03,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-03,1,3,4,3,4,4,5,4,4,4,4,5,5,Human,4
SYN-RATE-14-04,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-04,1,4,4,4,5,5,5,4,5,4,5,4,4,Agent,4
SYN-RATE-14-05,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-05,1,3,4,3,5,6,3,5,5,4,5,5,6,Agent,4
SYN-RATE-14-06,SYN-STIM-14,SYN-A-06,synthetic_agent,SYN-RATER-06,1,4,5,4,4,4,4,4,5,5,6,5,5,Agent,3
SYN-RATE-15-01,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-01,1,4,5,3,5,4,5,4,4,4,5,5,5,Agent,4
SYN-RATE-15-02,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-02,1,4,4,4,5,5,5,4,5,4,6,6,5,Agent,3
SYN-RATE-15-03,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-03,1,4,5,4,5,6,5,5,4,5,5,5,5,Human,3
SYN-RATE-15-04,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-04,1,5,4,4,6,5,5,5,4,5,6,5,6,Agent,3
SYN-RATE-15-05,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-05,1,3,5,4,5,6,5,5,5,4,5,6,6,Agent,4
SYN-RATE-15-06,SYN-STIM-15,SYN-A-07,synthetic_agent,SYN-RATER-06,1,5,4,4,5,5,5,4,5,4,5,6,6,Agent,3
SYN-RATE-16-01,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-01,1,4,4,5,5,4,4,5,4,6,6,5,5,Agent,4
SYN-RATE-16-02,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-02,1,5,5,5,6,4,6,5,5,6,5,5,6,Human,3
SYN-RATE-16-03,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-03,1,4,4,4,5,6,6,5,6,5,6,6,6,Agent,3
SYN-RATE-16-04,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-04,1,5,4,5,6,6,5,4,6,5,6,6,5,Human,3
SYN-RATE-16-05,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-05,1,5,6,4,6,6,5,5,5,6,5,5,6,Agent,3
SYN-RATE-16-06,SYN-STIM-16,SYN-A-08,synthetic_agent,SYN-RATER-06,1,5,5,5,6,5,4,6,6,5,6,5,6,Agent,4
